Entity,Code,Year,co-emissions-per-capita,gdp-per-capita-worldbank,live-expectancy,long-run-air-pollution,total-healthcare-expenditure-gdp,unemployement-rate,co-emissions-per-capita_normalized,gdp-per-capita-worldbank_normalized,live-expectancy_normalized,long-run-air-pollution_normalized,total-healthcare-expenditure-gdp_normalized,unemployement-rate_normalized,social_score,environmental_score,economic_score,sustainability_index
Malawi,MWI,2024.0,0.08688312,1635.8569,67.3535,33528.547,6.50024,5.045,99.92109526267954,1.601389342054608,40.994509575338206,99.84185031938904,22.79420596328528,85.79153294042132,31.894357769311743,99.8814727910343,43.69646114123796,58.490763900528
Malaysia,MYS,2024.0,8.16206,34071.945,76.6571,900939.56,3.90592,3.826,80.52522348812984,25.97759393979086,69.85861216354697,95.7503883582017,10.719369887576637,89.31259847114431,40.2889910255618,88.13780592316577,57.64509620546759,62.02396438473172
Maldives,MDV,2024.0,4.3694687,23351.055,81.0412,12723.364,9.65276,4.636,89.63469757658754,17.920685002309447,83.46013331202349,99.9399855904016,37.46709220144905,86.97292408239481,60.46361275673627,94.78734158349457,52.446804542352126,69.23258629419432
Mali,MLI,2024.0,0.2850997,2910.8154,60.4394,62917.832,3.67285,3.06,99.44499629588269,2.5595396946436098,19.54374947117057,99.70322498509898,9.634583876535048,91.52517943630741,14.589166673852809,99.57411064049083,47.04235956547551,53.73521229327306
Malta,MLT,2024.0,3.2037206,60469.78,83.2989,159321.77,9.52377,2.703,92.43472301318516,45.81596115945823,90.46457077853096,99.24850047811874,36.86672944534893,92.55636925949699,63.66565011193994,95.84161174565196,69.18616520947761,76.23114235568984
Marshall Islands,MHL,2024.0,4.1115723,7212.3345,66.9454,384.7903,11.73604,,90.25414227480918,5.7921955358598725,39.72839320465936,99.99818499551898,47.16337658417836,,43.44588489441886,95.12616363516409,5.7921955358598725,48.12141468848094
Martinique,,,,,82.5651,28568.229,,,,,88.18798123478146,99.86524747726256,,,88.18798123478146,99.86524747726256,,94.02661435602201
Mauritania,MRT,2024.0,1.0134012,6396.991,68.4836,45788.5,4.4839,10.373,97.6956795047919,5.179452719520242,44.50060639107993,99.78402175761882,13.409482809281778,70.40167473886912,28.95504460018085,98.73985063120536,37.79056372919468,55.16181965352697
Mauritius,MUS,2024.0,3.6766226,27317.186,74.9263,95999.42,5.82382,5.476,91.29885358391662,20.901291677792745,64.4888640273769,99.5471835504283,19.645920239731197,84.5465950866546,42.06739213355405,95.42301856717246,52.72394338222367,63.404784694316724
Mayotte,,,,,76.0544,,,,,,67.98875591113786,,,,67.98875591113786,,,67.98875591113786
Mexico,MEX,2024.0,3.5227275,22033.275,75.069,1227595.0,5.72145,2.711,91.66849621474547,16.930353652987307,64.93158592420582,94.2095982516148,19.169455898759264,92.53326136429948,42.05052091148254,92.93904723318013,54.73180750864339,63.24045855110202
Micronesia (country),FSM,2024.0,1.3309593,3823.604,67.1983,795.1888,10.3447,,96.93293259780778,3.2455139588484614,40.51300685362943,99.99624920057688,40.68761321436413,,40.60031003399678,98.46459089919233,3.2455139588484614,47.43680496401252
Moldova,MDA,2024.0,1.7551568,16465.928,71.1985,34168.332,6.96505,1.434,95.91404713692552,12.746409241435618,52.9234913083945,99.8388325389463,24.957587718947703,96.22185913520453,38.940539513671105,97.87643983793592,54.48413418832007,63.76703784664236
Monaco,,,,,86.3724,,3.3978,,,,100.0,,8.354408854709035,,54.17720442735452,,,54.17720442735452
Mongolia,MNG,2024.0,12.859549,16801.307,71.7341,162877.2,8.8517,5.424,69.24226391209666,12.99845156838269,54.58517209284834,99.23172998940849,33.73869008189279,84.69679640543853,44.16193108737056,84.23699695075257,48.84762398691061,59.082184008344576
Montenegro,MNE,2024.0,3.7217364,27852.041,77.0869,6414.1924,10.92242,14.1,91.1904941642945,21.303243197653188,71.19205204621734,99.9697451106534,43.376516008799044,59.636284063721774,57.28428402750819,95.58011963747396,40.46976363068748,64.44472243188987
Montserrat,MSR,2024.0,6.0215225,,76.1857,345.43182,,,85.66660819035758,,68.39610969567629,99.99837064421534,,,68.39610969567629,92.83248941728647,,80.61429955648137
Morocco,MAR,2024.0,1.813556,9065.914,75.3128,251040.47,5.68049,8.943,95.77377734323943,7.185188210897332,65.68796713266332,98.81587561337132,18.978814310342635,74.53221100542686,42.33339072150298,97.29482647830537,40.8586996081621,60.16230560265681
Mozambique,MOZ,2024.0,0.24869162,1495.3224,63.6111,93011.58,8.77718,3.527,99.53244533405628,1.4957755666055097,29.38384085289611,99.56127679287381,33.39184898890434,90.17625605415184,31.38784492090023,99.54686106346504,45.836015810378676,58.92357393158132
Myanmar,MMR,2024.0,0.5798787,5276.2944,66.889,549615.7,5.20476,3.032,98.73696280376308,4.337232488481117,39.553414122801236,97.40753610904252,16.764607209330862,91.60605706949875,28.15901066606605,98.0722494564028,47.97164477898993,58.067634967152934
Namibia,NAM,2024.0,1.1448735,10281.336,67.3848,26104.457,9.29636,19.148,97.37989448724994,8.098595994636511,41.091616760837475,99.87686876090775,35.80828697411296,45.05520219408299,38.44995186747522,98.62838162407886,26.57689909435975,54.551744195304614
Nauru,NRU,2024.0,5.129512,12604.0625,62.1094,,18.17031,,87.80913974559851,9.844159646271304,24.72486767512481,,77.11062885716314,,50.917748266143974,87.80913974559851,9.844159646271304,49.52368255267126
Nepal,NPL,2024.0,0.6332349,5046.816,70.3537,226904.31,6.65589,10.706,98.60880585699199,4.16477604392111,50.302528039711575,98.92972265825445,23.51865330793978,69.4398086012721,36.91059067382568,98.76926425762322,36.80229232259661,57.49404908468184
Netherlands,NLD,2024.0,6.29691,70901.836,82.1576,1085118.9,10.10068,3.599,85.00515139285474,53.65580703258132,86.92372634369683,94.88163899676537,39.55186222790354,89.9682849973741,63.237794285800184,89.94339519481005,71.81204601497771,74.99774516519598
New Caledonia,NCL,2024.0,18.0644,,78.7658,23357.668,,11.15,56.74066498716552,,76.40078219748607,99.88982499796317,,68.15732041780942,76.40078219748607,78.31524499256435,68.15732041780942,74.2911158692866
New Zealand,NZL,2024.0,6.229343,48162.86,82.088,192144.23,10.02858,4.869,85.16744144391689,36.567126991691495,86.70779471076554,99.09368131563413,39.216284627199464,86.29990663476688,62.9620396689825,92.13056137977551,61.43351681322919,72.1753726206624
Nicaragua,NIC,2024.0,0.8140884,7661.602,74.9468,54155.45,8.95365,4.574,98.17441149658282,6.129826771332854,64.55246458017993,99.7445559713386,34.21319960188975,87.15201027017565,49.38283209103484,98.95948373396071,46.640918520754255,64.99441144858326
Niger,NER,2024.0,0.11726506,1772.7245,61.1833,42445.99,4.3526,0.355,99.84812048810072,1.7042473873933468,21.851673921423007,99.79978793111088,12.798368537819295,99.33853649997083,17.32502122962115,99.8239542096058,50.52139194368209,55.89012246096968
Nigeria,NGA,2024.0,0.5837386,5665.4517,54.4623,1020357.7,4.2709,2.989,98.72769166003766,4.629690010986819,1.0,95.18710893245876,12.418109314830076,91.73026200618544,6.709054657415038,96.95740029624821,48.17997600858613,50.61547698741646
Niue,NIU,2024.0,4.142857,,69.9778,38.666748,18.28817,,90.17899914931208,,49.13631107392331,99.99981761411115,77.65918885742641,,63.39774996567486,95.08940838171162,,79.24357917369323
North Korea,PRK,2024.0,2.3604918,,73.6418,164936.7,,2.859,94.46008517236147,,60.50374646271871,99.2220156028227,,92.10576530314523,60.50374646271871,96.84105038759208,92.10576530314523,83.15018738448533
North Macedonia,MKD,2024.0,3.6311553,24463.984,77.3947,19647.209,7.62041,13.417,91.40806207976011,18.757067765949618,72.14699107805993,99.90732673777224,28.00785313361375,61.60912061621054,50.07742210583684,95.65769440876618,40.18309419108008,61.972736901894365
Northern Mariana Islands,,,,,78.8075,,,,,,76.53015502928542,,,,76.53015502928542,,,76.53015502928542
Norway,NOR,2024.0,6.667616,91108.234,83.3078,200482.61,7.94803,3.97,84.11474785756323,68.84121688572847,90.49218272584542,99.05435029023023,29.532706580807492,88.89665635758884,60.012444653326455,91.58454907389674,78.86893662165866,76.82197678296062
Oman,OMN,2024.0,15.651107,36654.23,80.0305,337487.2,2.91622,3.161,62.53718465205965,27.91821968034265,80.32447093553453,98.40811792738026,6.112973890117247,91.23344225943865,43.21872241282589,80.47265128971995,59.575830969890646,61.0890682241455
Pakistan,PAK,2024.0,0.71556884,5530.996,67.649,1679095.1,2.90434,5.472,98.41104690178092,4.528644544516654,41.91128827549899,92.07993254880884,6.057680382539377,84.55814903425338,23.984484329019182,95.24548972529487,44.543396789385014,54.59112361456636
Palau,PLW,2024.0,12.760258,15796.535,69.269,7531.5083,14.28556,,69.48075224900685,12.243350405425968,46.937283179933644,99.96447488069902,59.02969842255632,,52.98349080124498,84.72261356485294,12.243350405425968,49.98315159050796
Palestine,PSE,2024.0,0.86981934,3845.503,65.1703,0.0,9.73336,24.42,98.04055063109611,3.2619713843814075,34.22120582511493,100.0,37.842231655218086,29.827099258913464,36.03171874016651,99.02027531554805,16.544535321647437,50.532176459120656
Panama,PAN,2024.0,2.8046095,36426.008,79.5937,320577.4,8.46561,6.518,93.3933531254954,27.746707439145332,78.9693137909314,98.48787919676052,31.94169762896858,81.53679173717687,55.45550570994999,95.94061616112796,54.641749588161105,68.67929048641302
Papua New Guinea,PNG,2024.0,0.7890545,4300.726,66.134,61832.81,2.61825,2.741,98.23454074472592,3.6040782670419977,37.21105230005547,99.70834288903787,4.7261214950854455,92.44660675730874,20.968586897570457,98.97144181688189,48.02534251217537,55.98845707554258
Paraguay,PRY,2024.0,1.1454097,16296.283,73.8443,104783.87,7.73804,6.093,97.37860658153592,12.618918490509245,61.131995825773046,99.50574847237846,28.555342636676446,82.76439866954543,44.843669231224744,98.44217752695718,47.69165858002734,63.65916844606975
Peru,PER,2024.0,2.0529242,15661.75,77.7401,319740.25,6.09309,4.828,95.19883576820055,12.142057465088138,73.21858283114123,98.4918279215628,20.899193201473025,86.4183345976542,47.05888801630713,96.84533184488168,49.28019603137117,64.39480529752
Philippines,PHL,2024.0,1.5096035,10375.94,69.8327,711502.56,5.15676,2.153,96.50384478363881,8.169692313423617,48.68614325871747,96.64393740003459,16.541199097905125,94.14503705432689,32.6136711783113,96.5738910918367,51.15736468387526,60.11497565134109
Poland,POL,2024.0,7.0801096,45112.598,78.6329,554687.5,6.39626,2.472,83.12397414544334,34.2748095470148,75.98846446736302,97.38361310545628,22.31024814190928,93.22360973332555,49.14935630463615,90.25379362544982,63.74920964017017,67.71745319008538
Portugal,PRT,2024.0,3.4089074,41883.85,82.3599,187940.03,10.46883,6.384,91.9418821848329,31.848357207882948,87.55135521355307,99.11351196583273,41.26535589918239,81.92384898173543,64.40835555636772,95.52769707533281,56.88610309480919,72.27405190883657
Puerto Rico,,,,44124.54,81.6902,27455.238,,5.472,,33.532269204659826,85.47363373978773,99.87049730724097,,84.55814903425338,85.47363373978773,99.87049730724097,59.0452091194566,81.46311338882843
Qatar,QAT,2024.0,41.27118,110945.88,82.368,223568.8,2.18112,0.126,1.0,83.7495041040464,87.57648518807524,98.94545581368091,2.6915717503451964,100.0,45.134028469210214,49.972727906840454,91.8747520520232,62.32716947602463
Reunion,,,,,83.5472,34888.344,,,,,91.23491308394523,99.83543633845376,,,91.23491308394523,99.83543633845376,,95.53517471119949
Romania,ROU,2024.0,3.605104,40608.418,75.9381,198246.66,5.74901,5.379,91.47063503412001,30.889851012972844,67.62793911645531,99.06489696791245,19.297729389402875,84.82677831592461,43.46283425292909,95.26776600101623,57.85831466444873,65.52963830613135
Russia,RUS,2024.0,12.294705,41704.71,73.1541,4847877.5,6.91986,2.527,70.59897002013967,31.713730822661162,58.99067379920464,77.13320895575723,24.747258290711684,93.06474295384257,41.868966044958164,73.86608948794844,62.389236888251865,59.37476414038616
Rwanda,RWA,2024.0,0.14263947,3264.6445,67.7852,19507.139,7.87921,11.994,99.78717336458523,2.825447547268812,42.33384414339035,99.90798742926486,29.21239520105084,65.71943747447045,35.773119672220595,99.84758039692505,34.27244251086963,56.63104752667176
Saint Barthelemy,,,,,84.2901,,,,,,93.53973506820724,,,,93.53973506820724,,,93.53973506820724
Saint Helena,SHN,2024.0,2.1647663,,76.7869,,,,94.9302007818922,,70.26131224909983,,,,70.26131224909983,94.9302007818922,,82.59575651549602
Saint Kitts and Nevis,KNA,2024.0,5.542429,31270.69,72.1447,3608.4487,5.56802,,86.81734906354329,23.872408974208295,55.8590446285032,99.9829794291591,18.455341179258205,,37.1571929038807,93.4001642463512,23.872408974208295,51.47658870814673
Saint Lucia,LCA,2024.0,2.9869597,24252.469,72.6968,5824.874,5.01938,10.928,92.95536382200123,18.59811108474951,57.57191610179848,99.9725248468805,15.901786465662047,68.79856450954075,36.73685128373026,96.46394433444087,43.69833779714513,58.966377805105424
Saint Martin (French part),,,,,80.2238,,,,,,80.92417761147723,,,,80.92417761147723,,,80.92417761147723
Saint Pierre and Miquelon,SPM,2024.0,9.788039,,76.7578,774.3864,,,76.61976350121367,,70.17103048877942,99.99634732272087,,,70.17103048877942,88.30805541196727,,79.23954295037335
Saint Vincent and the Grenadines,VCT,2024.0,2.5405643,18714.2,71.2301,2822.424,4.68768,18.056,94.02756670595203,14.436019224439754,53.021529233690885,99.98668700274578,14.357943328997122,48.20942988854526,33.689736281344004,97.00712685434891,31.322724556492506,54.00652923072848
Samoa,WSM,2024.0,1.1263857,6894.8896,71.6982,1763.1222,6.30121,4.551,97.42430057315026,5.553630952885149,54.47379356379328,99.99168358793455,21.86785353792978,87.21844546886854,38.17082355086153,98.7079920805424,46.38603821087684,61.088284614093595
San Marino,,,,70887.57,85.7062,,7.4065,,,53.64508592053727,97.933137157201,,27.012244193716267,,62.47269067545864,,53.64508592053727,58.05888829799795
Sao Tome and Principe,STP,2024.0,0.6019113,5480.435,69.7182,2506.335,7.4642,9.17,98.68404241690216,4.490647197954195,48.33091090281759,99.98817795236536,27.28079936099262,73.87652447919706,37.805855131905105,99.33611018463375,39.183585838575624,58.775183718371494
Saudi Arabia,SAU,2024.0,20.379194,62676.7,78.7321,2691335.8,4.62462,3.896,51.180731344139616,47.4744944969243,76.29622909360987,87.30532828676262,14.064440922611562,89.11040438816596,45.18033500811072,69.24302981545111,68.29244944254513,60.90527142203566
Senegal,SEN,2024.0,0.76163954,4495.895,68.6829,96959.11,4.06358,2.992,98.30038909167438,3.750750685135954,45.11892786296503,99.54265682080339,11.453172446897085,91.72159654548638,28.286050154931058,98.92152295623887,47.736173615311166,58.31458224216036
Serbia,SRB,2024.0,6.237839,26884.463,76.7693,94884.125,9.65743,7.39,85.14703479164841,20.57609388114025,70.20670884766892,99.55244424806716,37.488827948956505,79.01803116064656,53.84776839831271,92.34973951985779,49.797062520893405,65.33152347968797
Seychelles,SYC,2024.0,5.002998,29241.775,72.862,17214.035,4.23752,,88.11301535825078,22.347649052514285,58.0844434834112,99.91880369473583,12.262747590676094,,35.173595537043646,94.0159095264933,22.347649052514285,50.51238470535041
Sierra Leone,SLE,2024.0,0.165966,3092.8306,61.7858,24281.555,7.94752,3.126,99.73114507052448,2.6963268356027523,23.72090968063404,99.88546714631005,29.530332869623592,91.33453930092782,26.625621275128815,99.80830610841727,47.01543306826528,57.816453483937124
Singapore,SGP,2024.0,9.244836,132569.53,83.7362,4026095.0,4.89703,3.182,77.92448981149985,100.0,91.82127915612924,81.00944731188636,15.332328498309158,91.17278403454513,53.576803827219194,79.46696856169311,95.58639201727257,76.21005480206163
Sint Maarten (Dutch part),SXM,2024.0,16.546274,45821.81,76.371,11017.365,,,60.38707145864953,34.80779295616917,68.97099664369587,99.94803255995781,,,68.97099664369587,80.16755200930368,34.80779295616917,61.31544720305624
Slovakia,SVK,2024.0,5.282773,40346.574,78.3414,52425.062,7.73064,5.234,87.44102016775972,30.6930713366749,75.08409563116378,99.75271798055222,28.520900552831645,85.24560891637977,51.80249809199771,93.59686907415596,57.969340126527335,67.78956909756033
Slovenia,SVN,2024.0,6.0184274,48495.89,81.6034,30359.713,9.60508,3.357,85.67404235107276,36.81740401005932,85.2043396918217,99.8567972863724,37.24517347743281,90.66729882709926,61.22475658462726,92.76541981872258,63.74235141857929,72.57750927397637
Solomon Islands,SLB,2024.0,0.3596751,2527.075,70.5277,1763.5316,4.82369,1.47,99.26587267822941,2.2711530533822315,50.84235712203972,99.9916816568494,14.990979521393253,96.11787360681566,32.916668321716486,99.6287771675394,49.19451333009895,60.57998627311827
Somalia,SOM,2024.0,0.06939735,1408.2783,58.8158,34660.99,2.62183,18.861,99.96309455976481,1.430360625565631,14.506585689170524,99.83650873692321,4.742784016729281,45.88419793429422,9.624684852949903,99.89980164834401,23.657279279929927,44.393921927074615
South Africa,ZAF,2024.0,6.8715796,13598.789,66.1387,1859645.1,8.77087,33.168,83.62484504910915,10.59171146596161,37.22563389021031,91.22830229968683,33.362480130923174,4.558615860418968,35.294057010566746,87.42657367439799,7.575163663190289,43.43193144938501
South Korea,KOR,2024.0,11.285893,50414.207,84.3288,1632434.9,9.43414,2.604,73.02204860868287,38.25904788311674,93.65980050203541,92.30002248373039,36.44956134061791,92.84232946256637,65.05468092132666,82.66103554620662,65.55068867284156,71.08880171345828
South Sudan,SSD,2024.0,0.14196548,,57.6174,35475.008,6.76126,12.477,99.78879222988212,,10.788590446285045,99.83266912267712,24.009080655875813,64.32429830191981,17.39883555108043,99.81073067627962,64.32429830191981,60.511288176426625
Spain,ESP,2024.0,4.599015,48373.047,83.6703,1154897.8,9.73829,11.394,89.0833473501734,36.72508566105965,91.61682664736243,94.55250123996416,37.865177529995776,67.45252961428488,64.7410020886791,91.81792429506878,52.08880763767227,69.54924467380671
Sri Lanka,LKA,2024.0,0.90139973,13752.837,77.4828,314145.6,4.3627,4.996,97.96469728396418,10.707480838467172,72.42031833181343,98.51821713880595,12.845377327931795,85.93306879850616,42.63284782987262,98.24145721138507,48.320274818486666,63.06485995324812
Sudan,SDN,2024.0,0.35272878,1871.5891,66.331,297518.12,4.61874,7.53,99.28255713406575,1.7785456107069453,37.82223810016266,98.59664674243193,14.037073428961907,78.61364299468985,25.929655764562284,98.93960193824884,40.1960943026984,55.0217840018365
Suriname,SUR,2024.0,4.7093143,19413.297,73.631,25681.145,5.91761,7.325,88.8184180351362,14.961401060039826,60.47023983002247,99.87886546710557,20.08245038078577,79.20578280912645,40.27634510540412,94.34864175112088,47.08359193458314,60.56952626370272
Sweden,SWE,2024.0,3.5916543,63258.906,83.2624,298545.8,10.49857,8.528,91.50294004247868,47.912031000410046,90.35133076988163,98.59179931305272,41.40377584155325,75.7309330687985,65.87755330571744,95.0473696777657,61.82148203460427,74.24880167269582
Switzerland,CHE,2024.0,3.5946856,82026.41,83.9536,64647.223,11.70653,4.11,91.49565912380855,62.01609052455573,92.49575526244041,99.69506767860129,47.026027139008086,88.49226819163214,69.76089120072425,95.59536340120492,75.25417935809394,80.20347798667437
Syria,SYR,2024.0,1.2879974,4189.8374,72.1201,143733.28,4.15099,12.962,97.03612334099198,3.5207438281656733,55.782723965139546,99.32202930460524,11.86000792647466,62.923382155569826,33.8213659458071,98.17907632279861,33.22206299186775,55.07416842015781
Taiwan,TWN,2024.0,11.301164,,80.5588,368369.25,,,72.98536899630153,,81.9635037182585,98.26245141984829,,,81.9635037182585,85.6239102080749,,83.7937069631667
Tajikistan,TJK,2024.0,1.0140533,4755.933,71.7901,96174.22,7.62917,11.635,97.69411321736908,3.9461731254636496,54.75891018831027,99.54635904216164,28.048625113948948,66.75640427145942,41.403767651129606,98.62023612976536,35.35128869846153,58.458430826452165
Tanzania,TZA,2024.0,0.29198244,3713.263,66.9953,175302.55,3.11196,2.576,99.42846455367055,3.1625910495498264,39.88320625757989,99.17312127206743,7.024013551168777,92.92320709575772,23.453609904374336,99.30079291286899,48.042899072653775,56.932433963299026
Thailand,THA,2024.0,3.7361188,21737.178,76.4115,1244982.1,5.35471,0.693,91.15594889174436,16.707832335665568,69.09664651630676,94.12758562184739,17.46252484075355,98.36222792787535,43.279585678530154,92.64176725679587,57.53503013177046,64.4854610223655
Togo,TGO,2024.0,0.28938687,2849.6038,62.7387,40028.934,6.04134,1.94,99.43469888681892,2.5135382631283587,26.677249522878345,99.81118886162,20.65833133134215,94.76028476396102,23.667790427110248,99.62294387421946,48.63691151354469,57.309215271624794
Tokelau,,,,,77.0512,2.5455093,,,,,71.08129401036034,99.99998799317243,,,71.08129401036034,99.99998799317243,,85.54064100176637
Tonga,TON,2024.0,1.464028,7075.556,72.8947,1092.4983,8.13608,2.192,96.61331316646152,5.689404450501725,58.185894121297025,99.994846831352,30.407954400674353,94.03238606523895,44.29692426098569,98.30407999890676,49.86089525787034,64.15396650592093
Trinidad and Tobago,TTO,2024.0,22.931944,31689.732,73.4896,51541.473,6.43106,4.546,45.04924810751709,24.187325295052933,60.031551138981065,99.75688575191855,22.472219022692943,87.23288790336699,41.251885080837006,72.40306692971782,55.71010659920996,56.45501953658826
Tunisia,TUN,2024.0,2.6605377,12713.55,76.5077,111408.766,6.9638,16.203,93.73940104502141,9.926441137574031,69.39510374458244,99.47449972227662,24.951769799379324,53.56179611367218,47.17343677198088,96.60695038364901,31.744118625623106,58.508168593751
Turkey,TUR,2024.0,5.865009,35294.395,77.1557,934731.5,3.70339,8.449,86.04253999000703,26.896283370484035,71.40550170635629,95.59099628796899,9.776727287429674,75.95912353387408,40.591114496892985,90.81676813898801,51.42770345217906,60.94519536268668
Turkmenistan,TKM,2024.0,10.808675,17953.846,70.0727,676310.94,5.37104,4.304,74.16828469416501,13.864601838546445,49.430735096411475,96.80993157398977,17.538530141994844,87.93190173309213,33.48463261920316,85.48910813407738,50.89825178581929,56.62399751303328
Turks and Caicos Islands,TCA,2024.0,8.136117,33390.527,78.0077,768.22546,,,80.58753631531923,25.465498136703555,74.04880273017008,99.99637638305244,,,74.04880273017008,90.29195634918582,25.465498136703555,63.268752405353155
Tuvalu,TUV,2024.0,1.1831627,5812.3994,67.1049,,18.3821,,97.28792716262213,4.7401234020086775,40.223236530126826,,78.09637060547266,,59.15980356779974,97.28792716262213,4.7401234020086775,53.72928471081019
Uganda,UGA,2024.0,0.12663798,2881.866,68.2523,136386.83,4.39089,2.941,99.8256075503441,2.5377837882221534,43.78300600750235,99.3566815286078,12.976583050037867,91.8689093773706,28.37979452877011,99.59114453947595,47.20334658279638,58.39142855034748
Ukraine,UKR,2024.0,3.7637882,16319.845,73.4225,391067.34,8.20275,9.834,91.08948940206953,12.636625685376922,59.823375671025794,98.1553875591931,30.718258958773397,71.95856917780242,45.270817314899595,94.62243848063132,42.29759743158967,60.730284409040195
United Arab Emirates,ARE,2024.0,20.131075,68584.66,82.9091,2059700.2,4.67551,2.133,51.776691578861985,51.914414664586005,89.25522953547622,90.2846690975205,14.301300064079387,94.20280679232071,51.7782647997778,71.03068033819125,73.05861072845336,65.28918528880747
United Kingdom,GBR,2024.0,4.5257993,52517.984,81.3015,833455.8,11.05088,4.111,89.25920508681332,39.84006771577688,84.26770520932246,96.06870024599174,43.97441196700217,88.48937970473244,64.12105858816231,92.66395266640254,64.16472371025466,73.64991165493983
United States,USA,2024.0,14.197287,75491.61,79.3043,9002181.0,16.49614,4.106,66.02913371055209,57.105090735857814,78.07146013331202,57.537913887169694,69.3184797341293,88.5038221392309,73.69496993372066,61.78352379886089,72.80445643754436,69.42765005670863
United States Virgin Islands,,,,46479.3,75.4724,1382.5325,,12.014,,35.30190650992308,66.18312070472983,99.99347877874608,,65.66166773647663,66.18312070472983,99.99347877874608,50.48178712319985,72.21946220222526
Uruguay,URY,2024.0,2.35437,32038.773,78.1385,83677.39,8.94532,8.401,94.47478920294729,24.449634819024123,74.4546052817133,99.60530492112113,34.174428985886074,76.09777090505924,54.31451713379968,97.0400470620342,50.27370286204168,67.2094223526252
Uzbekistan,UZB,2024.0,3.829127,10450.205,72.3884,390226.78,7.36325,4.488,90.93255129340201,8.225503569974338,56.61511559036168,98.1593523685102,26.810944176650366,87.40042014354904,41.713029883506024,94.54595183095611,47.81296185676169,61.35731452374128
Vanuatu,VUT,2024.0,0.6012429,3169.2324,71.4769,1501.9844,4.14743,5.064,98.68564785550576,2.7537439292637886,53.78721784011959,99.99291534007892,11.843438491543916,85.73665168932719,32.81532816583175,99.33928159779234,44.24519780929549,58.79993585763986
Vatican,,,,,82.9848,,,,,,89.49008621094892,,,,89.49008621094892,,,89.49008621094892
Venezuela,VEN,2024.0,4.085203,,72.5142,215493.11,4.55047,5.475,90.31747903748139,,57.00540581195297,98.98354776542023,13.719321933815342,84.5494835735543,35.36236387288415,94.65051340145081,84.5494835735543,71.52078694929641
Vietnam,VNM,2024.0,3.6730351,14415.216,74.5883,1200795.9,4.58892,1.431,91.3074704465594,11.205268548731897,63.44023052262451,94.33600602901302,13.898281139738668,96.2305245959036,38.66925583118159,92.8217382377862,53.71789657231775,61.73629688042851
Wallis and Futuna,WLF,2024.0,2.6991065,,78.6286,139.71788,,,93.64676214553786,,75.97512386360434,99.99934096941041,,,75.97512386360434,96.82305155747414,,86.39908771053925
Western Sahara,,,,,71.385,571.2269,,,,,53.5021012156026,99.99730559896344,,,53.5021012156026,99.99730559896344,,76.74970340728302
Yemen,YEM,2024.0,0.24944058,,69.2952,60162.22,6.18667,17.086,99.53064639734689,,47.018567788881874,99.71622283906765,21.334745932040118,51.011262181245264,34.176656860460994,99.62343461820727,51.011262181245264,61.60378455330451
Zambia,ZMB,2024.0,0.5650162,3716.0374,66.3487,57280.73,5.25592,5.961,98.77266123471178,3.1646760525818647,37.87715174819257,99.72981444275939,17.002723021425453,83.1456789403046,27.43993738480901,99.25123783873559,43.15517749644324,56.61545090666261
Zimbabwe,ZWE,2024.0,0.82366556,3450.1296,62.7748,74016.9,3.62881,8.554,98.15140799212902,2.964842369896377,26.78924854513148,99.650872162912,9.429606934301937,75.65583240940654,18.109427739716708,98.90114007752051,39.31033738965146,52.106968402296225
